class,precision,recall,f1-score,support,Category,patch_size,data_type
Larch,0.883759203118233,0.9666050873951968,0.9233275265265491,21111.0,Conifer,5,train_data
accuracy,0.8346712040836753,0.8346712040836753,0.8346712040836753,0.8346712040836753,Conifer,5,train_data
macro avg,0.8224760768328602,0.8113293371466074,0.8153241644500305,49955.0,Conifer,5,train_data
weighted avg,0.8309654084136605,0.8346712040836753,0.831291871301098,49955.0,Conifer,5,train_data
Mongolian Oak,0.7209485277590469,0.8585385438972163,0.7837507635919365,22416.0,Broadleaf,5,train_data
Oriental Oak,0.731271186440678,0.5366961064809056,0.6190544515388479,16078.0,Broadleaf,5,train_data
accuracy,0.7241128487556502,0.7241128487556502,0.7241128487556502,0.7241128487556502,Broadleaf,5,train_data
macro avg,0.7261098570998625,0.6976173251890609,0.7014026075653922,38494.0,Broadleaf,5,train_data
weighted avg,0.725260049198317,0.7241128487556502,0.7149611520891164,38494.0,Broadleaf,5,train_data
Non-Forest,0.893591654247392,0.9532591414944356,0.9224615384615384,3145.0,Overall,5,validation
Pine,0.6415956783710783,0.6894396070551463,0.6646577701248386,4479.0,Overall,5,validation
Nut Pine,0.7192554165395179,0.5726433430515063,0.6376301907209523,4116.0,Overall,5,validation
Larch,0.8091828793774319,0.9015085833188833,0.8528543307086615,5767.0,Overall,5,validation
Mongolian Oak,0.6528414015104618,0.8411229861221885,0.7351178028718807,6269.0,Overall,5,validation
Oriental Oak,0.7588883324987481,0.4916463909164639,0.5967122748301998,6165.0,Overall,5,validation
accuracy,0.7329748505393942,0.7329748505393942,0.7329748505393942,0.7329748505393942,Overall,5,validation
macro avg,0.745892560424105,0.741603341993104,0.7349056512863452,29941.0,Overall,5,validation
weighted avg,0.7375263041248549,0.7329748505393942,0.7250334044149154,29941.0,Overall,5,validation
Conifer,0.9259001807312666,0.9494618290683584,0.9375329931374274,14029.0,Conifer vs Broadleaf,5,validation
Broadleaf,0.9411764705882353,0.9141015310233682,0.9274414421779831,12410.0,Conifer vs Broadleaf,5,validation
accuracy,0.9328643292106358,0.9328643292106358,0.9328643292106358,0.9328643292106358,Conifer vs Broadleaf,5,validation
macro avg,0.9335383256597509,0.9317816800458634,0.9324872176577053,26439.0,Conifer vs Broadleaf,5,validation
weighted avg,0.933070601591548,0.9328643292106358,0.9327961972144838,26439.0,Conifer vs Broadleaf,5,validation
Pine,0.6757111597374179,0.7594687653713723,0.715145900880037,4066.0,Conifer,5,validation
Nut Pine,0.7535166240409207,0.5989834815756035,0.6674217754495257,3935.0,Conifer,5,validation
Larch,0.924759871931697,0.9774393683023125,0.9503701672607623,5319.0,Conifer,5,validation
accuracy,0.7990990990990992,0.7990990990990992,0.7990990990990992,0.7990990990990992,Conifer,5,validation
macro avg,0.7846625519033452,0.7786305384164295,0.7776459478634417,13320.0,Conifer,5,validation
weighted avg,0.7981476914337883,0.7990990990990992,0.7949779909183264,13320.0,Conifer,5,validation
Mongolian Oak,0.6948214521017262,0.8792729698182424,0.7762402473134109,5997.0,Broadleaf,5,validation
Oriental Oak,0.8071904127829561,0.5668599214512811,0.6660074708855197,5347.0,Broadleaf,5,validation
accuracy,0.7320169252468265,0.7320169252468265,0.7320169252468265,0.7320169252468265,Broadleaf,5,validation
macro avg,0.7510059324423412,0.7230664456347617,0.7211238590994653,11344.0,Broadleaf,5,validation
weighted avg,0.7477866171901021,0.7320169252468265,0.72428197372738,11344.0,Broadleaf,5,validation
Non-Forest,0.9569572830557479,0.9718775847808105,0.9643597266963498,24180.0,Overall,7,train_data
Pine,0.729709917268824,0.7363804491413474,0.73303000815296,18925.0,Overall,7,train_data
